,Order Date,Sales,Category,Sub-Category
2582,2014-01-26,155.35,Technology,Phones
2580,2014-01-26,19.44,Office Supplies,Paper
2579,2014-01-26,489.92,Office Supplies,Storage
2578,2014-01-26,62.82,Furniture,Furnishings
2581,2014-01-26,16.68,Office Supplies,Paper
3794,2014-01-27,57.23,Office Supplies,Storage
3796,2014-01-27,36.44,Office Supplies,Art
3795,2014-01-27,333.0,Furniture,Tables
3083,2014-01-28,3.928,Office Supplies,Binders
6387,2014-01-30,10.56,Office Supplies,Paper
6388,2014-01-30,229.94,Office Supplies,Storage
3365,2014-01-31,290.666,Furniture,Bookcases
9138,2014-02-02,180.96,Technology,Phones
1703,2014-02-02,12.35,Office Supplies,Fasteners
9137,2014-02-02,18.336,Office Supplies,Binders
9945,2014-02-03,3.424,Office Supplies,Paper
9946,2014-02-03,151.2,Technology,Accessories
6057,2014-02-03,11.36,Office Supplies,Envelopes
6058,2014-02-03,36.4,Office Supplies,Paper
8919,2014-02-04,177.68,Furniture,Furnishings
8827,2014-02-04,33.488,Office Supplies,Paper
8826,2014-02-04,26.72,Office Supplies,Paper
5682,2014-02-04,15.84,Office Supplies,Paper
5684,2014-02-04,154.9,Office Supplies,Appliances
5683,2014-02-04,1049.93,Technology,Phones
7036,2014-02-05,479.984,Technology,Copiers
5824,2014-02-05,26.136,Office Supplies,Appliances
719,2014-02-06,73.32,Furniture,Furnishings
3889,2014-02-06,356.94,Office Supplies,Storage
718,2014-02-06,59.808,Office Supplies,Binders
3887,2014-02-06,8.56,Office Supplies,Art
3888,2014-02-06,239.97,Technology,Phones
2733,2014-02-07,5.58,Office Supplies,Art
2732,2014-02-07,73.98,Technology,Phones
6174,2014-02-08,838.38,Office Supplies,Storage
6172,2014-02-08,26.7,Office Supplies,Binders
6173,2014-02-08,21.2,Technology,Accessories
4930,2014-02-09,14.94,Office Supplies,Paper
9033,2014-02-09,1793.98,Office Supplies,Binders
5028,2014-02-09,239.976,Technology,Accessories
4929,2014-02-09,57.75,Office Supplies,Art
2924,2014-02-09,19.9,Office Supplies,Appliances
4403,2014-02-09,21.24,Office Supplies,Art
7288,2014-02-09,559.71,Technology,Machines
9139,2014-02-09,475.944,Technology,Accessories
2925,2014-02-09,70.71,Furniture,Furnishings
3223,2014-02-10,4.672,Office Supplies,Fasteners
3226,2014-02-10,15.36,Office Supplies,Supplies
3225,2014-02-10,12.768,Office Supplies,Envelopes
3227,2014-02-10,230.376,Technology,Phones
3228,2014-02-10,7.16,Technology,Accessories
3222,2014-02-10,9.408,Office Supplies,Paper
3224,2014-02-10,318.4,Technology,Phones
7576,2014-02-11,41.94,Technology,Accessories
6501,2014-02-11,539.964,Technology,Phones
6502,2014-02-11,50.232,Technology,Phones
7507,2014-02-11,362.92,Office Supplies,Storage
7577,2014-02-11,52.792,Technology,Phones
6503,2014-02-11,19.242,Office Supplies,Binders
6227,2014-02-11,88.776,Technology,Phones
7276,2014-02-11,799.92,Technology,Accessories
4524,2014-02-11,89.34,Furniture,Furnishings
4523,2014-02-11,34.86,Office Supplies,Labels
7506,2014-02-11,46.384,Technology,Phones
6599,2014-02-12,60.72,Furniture,Furnishings
9002,2014-02-12,15.24,Office Supplies,Paper
4875,2014-02-12,119.8,Technology,Accessories
6251,2014-02-12,2.394,Office Supplies,Appliances
6600,2014-02-12,146.82,Office Supplies,Paper
9001,2014-02-12,5.95,Technology,Accessories
2789,2014-02-12,39.96,Furniture,Furnishings
6602,2014-02-12,15.66,Office Supplies,Labels
709,2014-02-12,46.72,Office Supplies,Binders
2788,2014-02-12,16.464,Office Supplies,Art
2787,2014-02-12,58.36,Furniture,Furnishings
708,2014-02-12,883.92,Furniture,Bookcases
707,2014-02-12,119.96,Technology,Accessories
6601,2014-02-12,239.84,Furniture,Chairs
9761,2014-02-14,239.97,Technology,Accessories
9763,2014-02-14,238.62,Office Supplies,Supplies
9762,2014-02-14,81.96,Office Supplies,Appliances
5466,2014-02-14,16.176,Office Supplies,Paper
7437,2014-02-15,21.36,Office Supplies,Binders
1333,2014-02-16,7.96,Office Supplies,Appliances
1332,2014-02-16,1.08,Office Supplies,Binders
9515,2014-02-17,54.208,Office Supplies,Art
6081,2014-02-18,25.16,Furniture,Furnishings
8222,2014-02-18,12.624,Office Supplies,Storage
8503,2014-02-20,12.96,Office Supplies,Paper
4520,2014-02-20,62.31,Technology,Accessories
4521,2014-02-20,20.32,Furniture,Furnishings
2882,2014-02-21,8.85,Office Supplies,Binders
7610,2014-02-22,19.44,Office Supplies,Paper
6529,2014-02-23,6.936,Office Supplies,Labels
6530,2014-02-23,4.428,Office Supplies,Binders
5511,2014-02-24,32.896,Office Supplies,Paper
5512,2014-02-24,22.776,Office Supplies,Paper
9463,2014-02-27,19.456,Office Supplies,Art
7980,2014-03-01,16.448,Office Supplies,Paper
1517,2014-03-02,83.84,Office Supplies,Binders
1518,2014-03-02,13.272,Office Supplies,Binders
7248,2014-03-03,44.672,Office Supplies,Storage
7348,2014-03-03,176.772,Office Supplies,Appliances
555,2014-03-03,19.456,Office Supplies,Art
1162,2014-03-03,9.99,Technology,Phones
1164,2014-03-03,25.32,Office Supplies,Binders
1163,2014-03-03,125.76,Office Supplies,Binders
7246,2014-03-03,15.12,Office Supplies,Labels
7247,2014-03-03,302.45,Furniture,Bookcases
8711,2014-03-03,626.352,Furniture,Tables
9883,2014-03-04,11.16,Office Supplies,Envelopes
9884,2014-03-04,62.31,Technology,Accessories
9885,2014-03-04,159.98,Technology,Accessories
3861,2014-03-05,40.176,Office Supplies,Binders
1552,2014-03-05,21.56,Office Supplies,Labels
3862,2014-03-05,10.896,Office Supplies,Binders
9843,2014-03-06,15.936,Office Supplies,Labels
6322,2014-03-06,15.28,Office Supplies,Envelopes
9844,2014-03-06,61.544,Furniture,Furnishings
9845,2014-03-06,132.696,Office Supplies,Storage
1699,2014-03-06,515.88,Furniture,Tables
201,2014-03-08,218.75,Furniture,Tables
855,2014-03-08,39.96,Office Supplies,Paper
856,2014-03-08,102.3,Office Supplies,Supplies
3155,2014-03-08,93.024,Office Supplies,Paper
857,2014-03-08,21.36,Office Supplies,Storage
202,2014-03-08,2.6,Office Supplies,Appliances
8397,2014-03-09,7.68,Office Supplies,Binders
4985,2014-03-09,14.4,Office Supplies,Labels
4877,2014-03-10,6.192,Office Supplies,Art
8221,2014-03-10,15.072,Office Supplies,Fasteners
8220,2014-03-10,1.788,Office Supplies,Binders
2275,2014-03-10,122.352,Furniture,Chairs
5600,2014-03-10,14.48,Office Supplies,Envelopes
5601,2014-03-10,142.488,Technology,Accessories
2274,2014-03-10,143.432,Furniture,Tables
8218,2014-03-10,31.776,Furniture,Furnishings
8217,2014-03-10,4.344,Office Supplies,Fasteners
1350,2014-03-10,258.279,Furniture,Chairs
5599,2014-03-10,55.984,Office Supplies,Art
4876,2014-03-10,61.568,Office Supplies,Storage
8219,2014-03-10,4.928,Office Supplies,Labels
8978,2014-03-11,5.76,Office Supplies,Binders
5705,2014-03-11,11.64,Office Supplies,Supplies
6266,2014-03-11,143.856,Office Supplies,Paper
3990,2014-03-11,286.344,Office Supplies,Supplies
4758,2014-03-11,783.96,Technology,Phones
6265,2014-03-11,3.488,Office Supplies,Paper
9228,2014-03-11,6.72,Office Supplies,Art
6429,2014-03-11,25.984,Office Supplies,Storage
4760,2014-03-11,7.856,Office Supplies,Binders
6431,2014-03-11,14.301,Office Supplies,Binders
6430,2014-03-11,945.036,Furniture,Tables
9077,2014-03-11,89.97,Technology,Accessories
6432,2014-03-11,410.352,Furniture,Furnishings
4759,2014-03-11,48.896,Office Supplies,Binders
2622,2014-03-12,25.92,Office Supplies,Paper
1982,2014-03-12,479.96,Technology,Phones
4678,2014-03-14,82.8,Technology,Accessories
1891,2014-03-14,3.38,Office Supplies,Art
4680,2014-03-14,62.048,Office Supplies,Binders
1890,2014-03-14,10.56,Office Supplies,Paper
9406,2014-03-14,8.448,Office Supplies,Paper
4679,2014-03-14,21.36,Office Supplies,Storage
2840,2014-03-14,1139.92,Furniture,Chairs
9405,2014-03-14,574.91,Technology,Machines
4676,2014-03-14,33.088,Office Supplies,Binders
9514,2014-03-14,91.056,Office Supplies,Paper
4677,2014-03-14,80.98,Office Supplies,Storage
606,2014-03-15,131.904,Office Supplies,Paper
605,2014-03-15,43.188,Office Supplies,Binders
603,2014-03-15,45.696,Furniture,Furnishings
602,2014-03-15,142.776,Office Supplies,Storage
604,2014-03-15,7.218,Office Supplies,Binders
3452,2014-03-16,471.92,Technology,Phones
2361,2014-03-17,155.04,Office Supplies,Paper
5102,2014-03-17,15.552,Office Supplies,Paper
1349,2014-03-17,35.88,Office Supplies,Binders
5100,2014-03-17,4.448,Office Supplies,Art
1348,2014-03-17,53.4,Office Supplies,Binders
2358,2014-03-17,1071.576,Furniture,Tables
2360,2014-03-17,34.86,Office Supplies,Paper
1347,2014-03-17,19.68,Office Supplies,Art
7431,2014-03-17,32.67,Office Supplies,Appliances
5101,2014-03-17,5.184,Office Supplies,Paper
1345,2014-03-17,93.78,Office Supplies,Appliances
7430,2014-03-17,16.0,Office Supplies,Paper
7427,2014-03-17,11.43,Office Supplies,Binders
7428,2014-03-17,30.44,Office Supplies,Binders
1346,2014-03-17,47.18,Office Supplies,Paper
7429,2014-03-17,12.96,Office Supplies,Paper
8010,2014-03-17,126.624,Office Supplies,Paper
2357,2014-03-17,1579.746,Furniture,Tables
2359,2014-03-17,613.908,Furniture,Tables
2696,2014-03-18,821.3,Technology,Machines
2697,2014-03-18,22638.48,Technology,Machines
6151,2014-03-18,1198.33,Furniture,Bookcases
2699,2014-03-18,8.016,Office Supplies,Art
2698,2014-03-18,21.376,Office Supplies,Paper
2700,2014-03-18,30.768,Furniture,Furnishings
2701,2014-03-18,18.936,Office Supplies,Fasteners
7329,2014-03-18,1856.19,Office Supplies,Storage
7328,2014-03-18,1279.968,Technology,Machines
7327,2014-03-18,111.0,Furniture,Furnishings
2702,2014-03-18,122.352,Furniture,Furnishings
6166,2014-03-19,170.24,Technology,Accessories
6165,2014-03-19,20.016,Furniture,Furnishings
6163,2014-03-19,33.57,Office Supplies,Binders
6164,2014-03-19,4.992,Furniture,Furnishings
6161,2014-03-19,11.808,Office Supplies,Labels
6160,2014-03-19,323.976,Technology,Phones
6162,2014-03-19,26.16,Office Supplies,Storage
195,2014-03-21,7.408,Office Supplies,Art
196,2014-03-21,6.048,Office Supplies,Art
7583,2014-03-21,3499.93,Technology,Phones
7584,2014-03-21,14.4,Office Supplies,Labels
7586,2014-03-21,9.32,Office Supplies,Art
8344,2014-03-21,32.952,Furniture,Furnishings
8343,2014-03-21,59.2,Office Supplies,Labels
7587,2014-03-21,122.94,Office Supplies,Binders
8345,2014-03-21,218.376,Furniture,Chairs
7585,2014-03-21,122.97,Office Supplies,Paper
5460,2014-03-21,16.272,Office Supplies,Storage
2870,2014-03-22,74.352,Office Supplies,Paper
1767,2014-03-22,7.644,Office Supplies,Binders
2871,2014-03-22,314.352,Furniture,Chairs
1768,2014-03-22,51.465,Office Supplies,Binders
4340,2014-03-22,16.28,Office Supplies,Art
6590,2014-03-23,9.912,Office Supplies,Labels
3554,2014-03-23,330.4,Office Supplies,Storage
3555,2014-03-23,604.752,Technology,Phones
4479,2014-03-24,24.9,Office Supplies,Paper
7801,2014-03-24,40.48,Furniture,Furnishings
9309,2014-03-25,25.44,Office Supplies,Art
9308,2014-03-25,45.48,Technology,Accessories
2432,2014-03-25,366.786,Furniture,Chairs
9306,2014-03-25,6.56,Office Supplies,Art
9307,2014-03-25,14.88,Office Supplies,Art
9053,2014-03-26,28.784,Technology,Phones
4244,2014-03-26,66.3,Technology,Accessories
9052,2014-03-26,27.936,Office Supplies,Binders
9659,2014-03-26,18.75,Office Supplies,Labels
9051,2014-03-26,3.36,Office Supplies,Art
7840,2014-03-28,1184.72,Furniture,Tables
7839,2014-03-28,6.12,Office Supplies,Envelopes
9899,2014-03-28,330.588,Furniture,Tables
8463,2014-03-28,302.376,Technology,Phones
7305,2014-03-29,890.841,Furniture,Tables
6138,2014-03-30,205.666,Furniture,Bookcases
5953,2014-03-30,10.5,Office Supplies,Art
2896,2014-03-30,49.65,Office Supplies,Art
7629,2014-03-30,335.72,Office Supplies,Envelopes
5283,2014-03-30,15.84,Office Supplies,Storage
8430,2014-03-30,129.3,Office Supplies,Storage
7631,2014-03-30,127.302,Furniture,Chairs
5284,2014-03-30,44.4,Office Supplies,Labels
7630,2014-03-30,251.944,Technology,Phones
5049,2014-03-31,79.984,Technology,Accessories
2230,2014-03-31,52.98,Office Supplies,Appliances
9567,2014-03-31,4.032,Office Supplies,Art
9565,2014-03-31,1125.488,Furniture,Chairs
5048,2014-03-31,8.134,Office Supplies,Binders
4711,2014-03-31,0.852,Office Supplies,Binders
5479,2014-03-31,1.869,Office Supplies,Binders
9566,2014-03-31,12.645,Office Supplies,Binders
2229,2014-03-31,673.568,Office Supplies,Binders
740,2014-04-01,272.736,Office Supplies,Storage
741,2014-04-01,3.54,Office Supplies,Binders
739,2014-04-01,11.784,Office Supplies,Labels
1544,2014-04-02,34.24,Office Supplies,Paper
8584,2014-04-02,17.248,Office Supplies,Binders
1543,2014-04-02,82.896,Office Supplies,Binders
4421,2014-04-03,15.552,Office Supplies,Art
1564,2014-04-03,354.9,Office Supplies,Storage
5121,2014-04-04,99.98,Technology,Accessories
5122,2014-04-04,19.44,Office Supplies,Paper
5123,2014-04-04,12.96,Office Supplies,Paper
1560,2014-04-04,18.9,Office Supplies,Labels
4844,2014-04-04,7.184,Office Supplies,Binders
3954,2014-04-04,5.47,Furniture,Furnishings
5120,2014-04-04,232.55,Office Supplies,Storage
3955,2014-04-04,79.36,Office Supplies,Art
1165,2014-04-05,46.8,Office Supplies,Binders
1459,2014-04-05,27.46,Furniture,Furnishings
7998,2014-04-05,12.18,Furniture,Furnishings
7999,2014-04-05,57.68,Office Supplies,Appliances
7296,2014-04-05,5.472,Office Supplies,Fasteners
7295,2014-04-05,37.84,Office Supplies,Art
8608,2014-04-06,15.56,Office Supplies,Appliances
8609,2014-04-06,353.568,Furniture,Bookcases
8610,2014-04-06,13.96,Furniture,Furnishings
8607,2014-04-06,56.96,Furniture,Furnishings
1874,2014-04-06,16.224,Office Supplies,Paper
6733,2014-04-07,32.432,Office Supplies,Appliances
6732,2014-04-07,177.536,Office Supplies,Paper
7161,2014-04-07,21.84,Office Supplies,Paper
7162,2014-04-07,15.6,Office Supplies,Binders
1377,2014-04-08,16.4,Office Supplies,Art
9158,2014-04-08,255.42,Technology,Accessories
1379,2014-04-08,158.9,Office Supplies,Storage
9156,2014-04-08,101.96,Office Supplies,Appliances
9157,2014-04-08,259.74,Office Supplies,Paper
1376,2014-04-08,447.84,Office Supplies,Paper
1375,2014-04-08,1089.75,Office Supplies,Appliances
1380,2014-04-08,13.184,Office Supplies,Binders
1378,2014-04-08,399.96,Technology,Phones
2723,2014-04-10,14.45,Office Supplies,Labels
4947,2014-04-10,29.24,Office Supplies,Labels
2724,2014-04-10,95.648,Office Supplies,Binders
6439,2014-04-10,589.41,Furniture,Chairs
320,2014-04-11,360.0,Technology,Accessories
4312,2014-04-11,447.968,Technology,Machines
4308,2014-04-11,666.344,Technology,Phones
5653,2014-04-11,2.94,Office Supplies,Art
321,2014-04-11,43.57,Office Supplies,Storage
4311,2014-04-11,19.44,Office Supplies,Paper
4309,2014-04-11,573.728,Furniture,Tables
318,2014-04-11,3991.98,Technology,Machines
317,2014-04-11,135.882,Furniture,Chairs
4310,2014-04-11,21.936,Office Supplies,Binders
319,2014-04-11,275.94,Technology,Phones
4995,2014-04-11,52.064,Office Supplies,Binders
2720,2014-04-11,8.376,Office Supplies,Fasteners
2721,2014-04-11,58.24,Office Supplies,Appliances
2742,2014-04-11,35.34,Furniture,Furnishings
2715,2014-04-12,129.98,Technology,Phones
340,2014-04-13,17.856,Office Supplies,Art
341,2014-04-13,509.97,Office Supplies,Binders
342,2014-04-13,30.992,Office Supplies,Fasteners
343,2014-04-13,71.928,Technology,Phones
6707,2014-04-13,7.83,Office Supplies,Labels
7656,2014-04-15,106.96,Office Supplies,Appliances
7657,2014-04-15,187.76,Furniture,Furnishings
403,2014-04-16,39.072,Office Supplies,Art
3533,2014-04-18,13.12,Office Supplies,Art
3535,2014-04-18,11.62,Office Supplies,Fasteners
3532,2014-04-18,287.968,Technology,Machines
3534,2014-04-18,10.75,Office Supplies,Art
6568,2014-04-18,2.688,Office Supplies,Art
6571,2014-04-18,227.976,Technology,Accessories
6570,2014-04-18,149.352,Office Supplies,Envelopes
6569,2014-04-18,317.058,Furniture,Chairs
7843,2014-04-19,71.28,Office Supplies,Paper
4569,2014-04-19,76.14,Furniture,Furnishings
7842,2014-04-19,58.05,Office Supplies,Binders
6849,2014-04-20,59.92,Furniture,Furnishings
5077,2014-04-20,401.59,Furniture,Tables
5076,2014-04-20,44.84,Office Supplies,Storage
5075,2014-04-20,744.1,Furniture,Tables
1172,2014-04-21,16.52,Office Supplies,Binders
9074,2014-04-21,828.84,Office Supplies,Storage
7163,2014-04-22,247.84,Office Supplies,Envelopes
7164,2014-04-22,9.912,Office Supplies,Binders
3405,2014-04-23,281.372,Furniture,Chairs
9289,2014-04-23,48.91,Office Supplies,Paper
3406,2014-04-23,281.372,Furniture,Chairs
3407,2014-04-23,7.488,Office Supplies,Binders
3408,2014-04-23,22.336,Furniture,Furnishings
1448,2014-04-23,2.502,Office Supplies,Binders
4377,2014-04-25,1487.04,Furniture,Chairs
1748,2014-04-25,10.368,Office Supplies,Paper
4375,2014-04-25,303.25,Furniture,Furnishings
1749,2014-04-25,6.24,Office Supplies,Art
2713,2014-04-25,302.376,Technology,Phones
4376,2014-04-25,270.72,Office Supplies,Appliances
7197,2014-04-26,12.6,Office Supplies,Labels
2614,2014-04-26,230.28,Furniture,Chairs
2615,2014-04-26,18.288,Office Supplies,Binders
7196,2014-04-26,21.4,Office Supplies,Art
1773,2014-04-28,20.86,Office Supplies,Binders
8451,2014-04-28,1679.96,Technology,Phones
3610,2014-04-28,177.568,Office Supplies,Storage
3609,2014-04-28,27.096,Office Supplies,Storage
1775,2014-04-28,5.34,Office Supplies,Art
3608,2014-04-28,6.912,Office Supplies,Labels
1776,2014-04-28,3.15,Office Supplies,Labels
1774,2014-04-28,497.61,Office Supplies,Storage
8920,2014-04-28,159.98,Technology,Accessories
6374,2014-04-29,561.584,Furniture,Chairs
8266,2014-04-29,19.98,Technology,Phones
2890,2014-04-29,51.96,Furniture,Chairs
2891,2014-04-29,17.94,Office Supplies,Binders
6375,2014-04-29,99.92,Office Supplies,Storage
884,2014-04-29,17.46,Furniture,Furnishings
8635,2014-04-30,174.95,Office Supplies,Art
8636,2014-04-30,826.0,Office Supplies,Storage
5004,2014-04-30,47.79,Technology,Accessories
1759,2014-05-01,19.536,Office Supplies,Art
8496,2014-05-03,59.52,Office Supplies,Art
8497,2014-05-03,479.97,Technology,Accessories
8498,2014-05-03,18.62,Office Supplies,Supplies
8499,2014-05-03,49.632,Office Supplies,Binders
8500,2014-05-03,97.82,Office Supplies,Paper
9911,2014-05-04,115.36,Office Supplies,Binders
3276,2014-05-04,22.96,Office Supplies,Art
9507,2014-05-04,40.2,Office Supplies,Binders
9506,2014-05-04,26.7,Office Supplies,Art
3879,2014-05-04,52.096,Office Supplies,Storage
9509,2014-05-04,689.82,Office Supplies,Storage
9508,2014-05-04,13.89,Office Supplies,Art
3277,2014-05-04,28.99,Technology,Phones
3278,2014-05-04,12.96,Office Supplies,Paper
3279,2014-05-04,22.96,Office Supplies,Art
3280,2014-05-04,4164.05,Office Supplies,Supplies
3878,2014-05-04,49.632,Office Supplies,Storage
710,2014-05-04,55.48,Office Supplies,Paper
8595,2014-05-05,11.88,Office Supplies,Binders
4211,2014-05-05,9.42,Office Supplies,Paper
4213,2014-05-05,24.56,Office Supplies,Paper
4559,2014-05-05,127.869,Furniture,Chairs
4212,2014-05-05,6.56,Office Supplies,Art
8596,2014-05-05,35.44,Office Supplies,Paper
4655,2014-05-05,45.248,Office Supplies,Storage
1355,2014-05-07,220.776,Office Supplies,Storage
5436,2014-05-07,19.52,Furniture,Furnishings
3884,2014-05-07,4.368,Office Supplies,Art
5437,2014-05-07,9.81,Office Supplies,Binders
1356,2014-05-07,281.424,Office Supplies,Storage
685,2014-05-07,479.97,Technology,Accessories
5438,2014-05-07,213.216,Furniture,Furnishings
686,2014-05-07,14.62,Office Supplies,Labels
3790,2014-05-07,180.96,Office Supplies,Binders
687,2014-05-07,19.44,Office Supplies,Paper
5358,2014-05-08,15.78,Office Supplies,Storage
5357,2014-05-08,16.36,Technology,Accessories
5864,2014-05-08,79.47,Office Supplies,Appliances
8893,2014-05-08,489.23,Furniture,Tables
171,2014-05-08,20.94,Office Supplies,Paper
6456,2014-05-08,135.99,Technology,Phones
173,2014-05-08,340.144,Furniture,Chairs
5359,2014-05-08,45.98,Office Supplies,Art
172,2014-05-08,110.96,Office Supplies,Paper
6457,2014-05-08,15.96,Office Supplies,Art
5866,2014-05-08,1133.35,Furniture,Chairs
5865,2014-05-08,4.56,Office Supplies,Art
2515,2014-05-09,264.32,Office Supplies,Storage
5429,2014-05-09,31.984,Furniture,Furnishings
6804,2014-05-10,99.98,Technology,Accessories
6019,2014-05-10,91.92,Office Supplies,Appliances
8682,2014-05-11,47.79,Technology,Accessories
9786,2014-05-11,149.9,Furniture,Chairs
9712,2014-05-11,1080.096,Office Supplies,Storage
9713,2014-05-11,51.56,Technology,Accessories
9711,2014-05-11,13.194,Office Supplies,Binders
9710,2014-05-11,273.568,Furniture,Furnishings
6683,2014-05-11,20.04,Furniture,Furnishings
9714,2014-05-11,58.416,Technology,Accessories
5377,2014-05-12,348.488,Office Supplies,Envelopes
7714,2014-05-12,250.26,Office Supplies,Appliances
5575,2014-05-12,179.94,Technology,Phones
920,2014-05-12,24.56,Office Supplies,Storage
